i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12	i13	i14	i15	i16	i17	i18	i19	i20	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i31	i32	i33	i34	i35	i36	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i47	i48	i49	i50	i51	i52	i53	i54
NA	8	CT08	01	2019-01-28 06:31:58	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:31:58	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:33:18	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:33:18	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:34:39	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:34:39	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:35:59	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:35:59	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:40:47	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:40:47	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:42:08	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:42:08	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:43:28	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:43:28	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:44:49	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:44:49	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:49:40	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:49:40	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
NA	8	CT08	01	2019-01-28 06:55:19	00	01	03	0	0	0	0	0	0	0	NULL	0	0	0	0	0	37	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	2019-01-28 06:55:19	171701110	0	NULL	NULL	NULL	NULL	0	0	0	4	NULL	0	0	0	0	0	0	0	0	0	0	30
